hseq,useq,sex,age,height,weight,meal_type,no_egg,no_milk,no_bean,no_shellfish,no_ingredient,purpose,diet_type,vegetarian,served_date,served_number,fseq,food_name,food_kcal,food_carb,food_prt,food_fat
194,50,f,35,156.0,55.0,snack,n,n,n,n,없음,all,all,5,Mon May 27 09:12:45 KST 2024,1,103,아몬드 에너지바,315.8,26.0,7.836,22.588
195,50,f,35,156.0,55.0,snack,n,n,n,n,없음,all,all,5,Mon May 27 09:12:45 KST 2024,1,559,중국식 감자채볶음,81.5,18.595001,2.676,0.085
196,50,f,35,156.0,55.0,snack,n,n,n,n,없음,all,all,5,Mon May 27 09:12:45 KST 2024,1,626,현미밥,535.5,113.88,10.995,3.3449998
197,297,m,44,183.0,72.0,snack,y,n,n,n,없음,bulkup,all,3,Mon May 27 09:12:45 KST 2024,1,494,두두콩국수,935.7,114.73599,51.156998,27.264002
198,297,m,44,183.0,72.0,snack,y,n,n,n,없음,bulkup,all,3,Mon May 27 09:12:45 KST 2024,1,500,버섯탕수,989.51996,215.273,26.2076,1.8571
199,324,m,28,166.0,73.0,snack,n,n,n,n,없음,all,all,2,Mon May 27 09:12:45 KST 2024,1,590,오트밀 바나나 죽,758.1,134.07701,24.590998,15.932999
200,324,m,28,166.0,73.0,snack,n,n,n,n,없음,all,all,2,Mon May 27 09:12:45 KST 2024,1,285,고추페스토 치즈롤,997.6,79.035995,40.614,59.584
201,336,m,15,171.0,71.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:45 KST 2024,1,506,돌솥비빔밥,690.14996,131.2005,23.665,7.341
202,336,m,15,171.0,71.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:45 KST 2024,1,141,베이컨 에그컵,508.2,5.105,35.189003,36.709
203,687,m,23,186.0,67.0,snack,n,n,n,n,없음,bulkup,all,0,Mon May 27 09:12:45 KST 2024,1,296,부타동,1045.44,110.37149,57.143,38.932
204,453,f,49,167.0,62.0,snack,n,n,n,n,없음,all,all,3,Mon May 27 09:12:45 KST 2024,1,229,호떡,672.39996,88.852,15.707,28.838999
205,746,f,39,164.0,58.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:45 KST 2024,1,19,땅콩수프,1913.65,185.67221,85.9155,105.8881
206,650,f,17,151.0,62.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:45 KST 2024,1,81,방풍나물무침,301.5,45.143303,8.5994,11.4086
207,926,m,32,177.0,79.0,snack,n,n,n,n,없음,all,all,3,Mon May 27 09:12:45 KST 2024,1,341,냉쫄면,415.8,47.183,20.289001,19.092997
208,926,m,32,177.0,79.0,snack,n,n,n,n,없음,all,all,3,Mon May 27 09:12:45 KST 2024,1,452,또띠아고구마치즈롤,1127.6299,143.3457,45.1092,41.0795
209,404,m,37,153.0,70.0,snack,n,n,n,n,없음,diet,all,1,Mon May 27 09:12:45 KST 2024,1,551,양파덮밥,229.29999,13.982001,19.493,10.000001
210,404,m,37,153.0,70.0,snack,n,n,n,n,없음,diet,all,1,Mon May 27 09:12:45 KST 2024,1,213,토스트,279.6,38.755,8.004,11.354
211,306,f,50,166.0,64.0,snack,n,n,n,n,없음,all,all,2,Mon May 27 09:12:45 KST 2024,1,334,피스타치오 사브레,1445.2,285.658,37.842003,32.36
212,764,m,52,180.0,73.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:45 KST 2024,1,368,마녀수프,984.0,73.53001,138.15999,17.71
213,13,m,48,185.0,72.0,snack,n,n,n,n,없음,bulkup,all,3,Mon May 27 09:12:45 KST 2024,1,244,허니브래드,968.7,158.54501,33.132004,23.883999
214,449,m,33,155.0,69.0,snack,n,n,n,n,없음,diet,all,2,Mon May 27 09:12:45 KST 2024,1,345,참치마요 주먹밥,428.80002,53.423504,15.297501,18.3455
215,449,m,33,155.0,69.0,snack,n,n,n,n,없음,diet,all,2,Mon May 27 09:12:45 KST 2024,1,489,파프리카 치즈 달걀찜,433.8,18.853,33.107,24.038002
216,838,f,20,174.0,62.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:45 KST 2024,1,592,동태국,1432.9501,95.15599,204.06549,28.175
217,575,m,52,155.0,60.0,snack,y,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,356,두부 견과 콩국수,1893.25,251.29349,57.9545,71.756004
218,774,f,15,158.0,67.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:46 KST 2024,1,144,컵케이크,495.63,51.216,18.383999,25.9665
219,774,f,15,158.0,67.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:46 KST 2024,1,110,잣 크림치즈 곶감말이,309.0,15.249001,8.025,26.365
220,930,f,17,162.0,65.0,snack,n,n,n,n,없음,all,all,4,Mon May 27 09:12:46 KST 2024,1,406,리코타 샐러드 스파게티면,2634.5,401.77,78.924995,83.560005
221,512,f,50,163.0,60.0,snack,n,n,n,n,없음,all,all,4,Mon May 27 09:12:46 KST 2024,1,284,허니버터칩,243.15999,56.8642,5.8738995,1.0874001
222,512,f,50,163.0,60.0,snack,n,n,n,n,없음,all,all,4,Mon May 27 09:12:46 KST 2024,1,478,떠먹는 고구마피자,1311.0,196.4645,38.343002,46.069
223,192,m,26,160.0,74.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:46 KST 2024,1,307,소고기(차돌박이)고추장찌개,425.02,65.4286,33.5772,7.1569996
224,192,m,26,160.0,74.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:46 KST 2024,1,135,닭꼬치,552.95996,39.6254,73.9571,7.405
225,543,m,41,170.0,64.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,323,김치그라탕,1430.3,242.83801,56.265003,28.053999
226,610,f,39,166.0,61.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,102,고기완자전,3472.4497,217.382,197.79301,192.09149
227,999,m,29,163.0,63.0,snack,n,n,n,n,없음,all,all,3,Mon May 27 09:12:46 KST 2024,1,201,요거트 베리 피자,1218.2,202.14,19.045,32.965
228,640,m,32,171.0,71.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,501,어묵국수,783.35004,135.6515,38.6025,6.5949993
